"Title","Distributor","Director","Genre","Website"
"Dragon Ball Z: Battle of Gods","Toei Company"," Masahiro Hosoda","Action","comicbookmovie.com"
"Baadshah ","Parameswara Art Productions"," Srinu Vaitla","Action","123telugu.com"
"Evil Dead ","TriStar Pictures/FilmDistrict"," Fede Alvarez","Horror","ComingSoon.net"
"Jurassic Park ","Universal Studios|Universal Pictures"," Steven Spielberg","Adventure","ComingSoon.net"
"Settai","UTV Motion Pictures"," R. Kannan","Comedy","boxofficemojo.com"
"The Brass Teapot","Magnolia Pictures","  Ramaa Mosley ","Fantasy","BoxOfficeMojo.com"
"Upstream Color"," ERBP "," Shane Carruth","Romance","Comingsoon.net"
"Fist of Legend ","Cinema Service"," Kang Woo-suk","Sports","hancinema.net"
"Oblivion ","Universal Studios|Universal Pictures"," Joseph Kosinski","Action","ComingSoon.net"
"42 ","Warner Bros."," Brian Helgeland","Biography","ComingSoon.net"
"Disconnect ","LD Entertainment"," Henry Alex-Rubin ","Crime","ComingSoon.net"
"It's a Disaster","Oscilloscope Laboratories"," Todd Berger","Comedy","oscilloscope.net"
"Scary Movie 5","Dimension Films"," Malcolm D. Lee","Comedy","ComingSoon.net"
"Java Heat","IFC Films"," Conor Allyn ","Action","megatrailer.tv"
"Home Run ","Samuel Goldwyn Films/Provident Films"," David Boyd ","Sports","ComingSoon.net"
"The Lords of Salem ","Anchor Bay Films"," Rob Zombie","Horror","ComingSoon.net"
"At Any Price ","Sony Pictures Classics"," Ramin Bahrani","Drama","comingsoon.net"
"|''Iron Man 3","Marvel Studios/Walt Disney Studios Motion Pictures"," Shane Black","Action","ComingSoon.net"
"Arthur Newman "," Cinedigm Entertainment "," Dante Ariola","Romantic","comingsoon.net"
"Mud ","Lions Gate Entertainment|Lionsgate/Roadside Attractions"," Jeff Nichols","Drama","movieweb.com"
"Pain & Gain","Paramount Pictures"," Michael Bay","Action","ComingSoon.net"
"So Young ","China Film Group"," Zhao Wei","Drama","ChineseFilms.Cn"
"The Big Wedding","Lions Gate Entertainment|Lionsgate"," Justin Zackham","Romantic","ComingSoon.net"
